Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2018","Rabi","PMFBY","Madhya Pradesh","23","Damoh","400.0","42138.0","52528.0","68.0","111.59","35689.99","535.35","638.68","638.68","85.99","13.75","0.26","4.74","3.6","69.68","21.98","21.83","46.07","32.1","461.0","1812.71"
"2022","Rabi","PMFBY","Madhya Pradesh","23","Neemuch","419.0","44270.0","182849.0","74.0","65.92","35425.69","531.38","797.78","797.78","87.49","12.37","0.14","4.52","2.04","72.96","20.48","15.92","62.02","22.06","250.0","2126.94"
"2020","Rabi","PMFBY","Rajasthan","8","Sirohi","115.0","14647.0","21587.0","11.0","18.16","9754.55","161.58","182.0","182.0","89.24","10.67","0.09","15.27","7.32","38.91","38.5","20.59","54.87","24.54","160.0","525.58"
"2022","Rabi","PMFBY","Odisha","21","Sambalpur","371.0","720.0","1083.0","8916.0","1.73","1861.11","19.59","1.47","1.47","71.51","28.49","0.0","4.26","16.91","59.33","19.5","21.78","58.68","19.54","30.0","22.53"
"2019","Kharif","PMFBY","Uttar Pradesh","9","Faizabad","nan","35153.0","37433.0","67.0","20.91","10037.85","200.76","50.19","50.19","92.6","7.37","0.03","6.26","0.49","41.22","52.03","49.8","45.84","4.36","818.0","301.14"
"2022","Rabi","WBCIS","Chhattisgarh","22","Bilaspur","375.0","169.0","141.0","230.0","0.09","90.35","4.52","6.83","6.83","90.03","9.97","0.0","18.33","18.06","32.08","31.53","11.32","55.26","33.42","27.0","18.18"
"2019","Kharif","WBCIS","Telangana","36","Mulugu","720.0","1182.0","1233.0","61.0","0.9","1156.23","57.81","61.16","61.16","65.77","34.23","0.0","7.96","25.5","53.94","12.6","31.99","65.61","2.4","8.0","180.13"
"2019","Kharif","PMFBY","Gujarat","24","Patan","455.0","1.0","9.0","0.0","0.01","4.46","0.17","0.0","0.0","100.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","0.0","1.0","0.17"
"2020","Kharif","PMFBY","Puducherry","34","Karaikal","598.0","1.0","0.0","1.0","0.0","0.17","0.0","0.01","0.01","0.0","100.0","0.0","0.0","0.0","100.0","0.0","0.0","100.0","0.0","1.0","0.02"
"2020","Kharif","PMFBY","Karnataka","29","Chikkamagaluru","532.0","3806.0","2435.0","1371.0","0.0","0.01","0.0","0.0","0.0","82.83","17.17","0.0","2.04","0.0","32.65","65.31","38.78","45.92","15.3","357.0","0.0"
"2020","Rabi","PMFBY","Odisha","21","Kandhamal","359.0","1184.0","0.0","4064.0","0.26","88.64","0.89","0.0","0.0","86.12","13.88","0.0","14.47","65.97","13.19","6.37","31.0","68.68","0.32","12.0","0.89"
"2018","Rabi","WBCIS","Telangana","36","Bhadradri","nan","17.0","6.0","13.0","5.1","23.3","1.16","0.0","0.0","52.63","47.37","0.0","0.0","68.42","15.79","15.79","31.58","31.58","36.84","4.0","1.16"
"2019","Kharif","WBCIS","Himachal Pradesh","2","Solan","25.0","6457.0","6828.0","0.0","1.13","1139.29","56.96","22.53","22.53","93.39","6.58","0.03","10.91","0.32","5.21","83.56","58.92","38.84","2.24","5.0","102.02"
"2021","Rabi","PMFBY","Chhattisgarh","22","Surguja","389.0","1905.0","1466.0","1259.0","0.99","263.72","3.96","13.72","13.72","89.91","9.98","0.11","6.75","56.29","25.65","11.31","14.75","66.64","18.61","187.0","31.4"
"2018","Rabi","PMFBY","Haryana","6","Hisar","63.0","85052.0","96418.0","393.0","142.1","90351.77","1355.27","1615.39","1615.39","91.79","8.15","0.06","0.82","0.09","10.64","88.45","16.99","57.01","26.0","280.0","4586.05"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Jhansi","153.0","117041.0","211367.0","4823.0","188.9","51479.85","1029.59","3472.66","3472.66","92.37","7.56","0.07","7.85","0.55","35.26","56.34","31.87","49.34","18.79","496.0","7974.91"
"2018","Rabi","WBCIS","Chhattisgarh","22","Durg","378.0","592.0","527.0","114.0","0.77","467.46","23.37","18.57","18.57","88.92","11.08","0.0","5.62","2.96","57.57","33.85","11.7","50.86","37.44","7.0","60.51"
"2020","Kharif","WBCIS","Uttarakhand","5","Champawat","48.0","4087.0","4346.0","13.0","2.8","2488.01","124.4","136.49","136.49","97.27","2.71","0.02","13.1","1.38","7.69","77.83","10.69","88.99","0.32","7.0","397.38"
"2020","Rabi","WBCIS","Karnataka","29","Mandya","544.0","23.0","23.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","69.7","30.3","0.0","0.0","100.0","173.0","0.0"
"2019","Kharif","PMFBY","Uttar Pradesh","9","Rampur","176.0","48951.0","61977.0","129.0","46.26","30757.32","615.15","276.86","276.86","90.08","9.86","0.06","4.28","0.42","47.91","47.39","36.67","51.71","11.62","675.0","1168.87"
"2020","Rabi","WBCIS","Rajasthan","8","Chittaurgarh","nan","99.0","103.0","0.0","0.06","53.05","2.65","5.3","5.3","96.12","3.88","0.0","4.85","3.88","70.87","20.4","3.88","3.88","92.24","36.0","13.25"
"2021","Rabi","WBCIS","Rajasthan","8","Ajmer","86.0","61.0","187.0","0.0","0.03","58.34","2.92","4.67","4.67","87.17","12.83","0.0","0.0","0.53","65.24","34.23","9.63","55.08","35.29","22.0","12.26"
"2020","Rabi","PMFBY","Uttar Pradesh","9","Rae Bareli","175.0","80918.0","83082.0","42.0","45.49","27828.55","417.47","904.38","904.38","91.52","8.44","0.04","8.7","0.67","42.6","48.03","46.98","40.99","12.03","967.0","2226.23"
"2021","Kharif","PMFBY","Rajasthan","8","Hanumangarh","101.0","151295.0","1355578.0","408756.0","441.34","132120.8","2982.98","11302.53","11331.14","84.75","14.84","0.41","8.72","0.31","77.31","13.66","14.25","56.37","29.38","309.0","25616.65"
"2018","Kharif","PMFBY","Karnataka","29","Kodagu","541.0","1039.0","1011.0","28.0","0.0","0.0","0.0","0.0","0.0","84.85","15.15","0.0","2.06","0.0","8.25","89.69","18.18","67.68","14.14","108.0","0.0"
"2018","Kharif","PMFBY","Haryana","6","Kurukshetra","68.0","29223.0","31659.0","156.0","48.65","35731.51","714.45","159.92","160.67","91.39","8.57","0.04","0.88","0.14","28.16","70.82","15.05","61.78","23.17","418.0","1035.04"
"2022","Rabi","PMFBY","Kerala","32","Wayanad","567.0","247.0","3.0","259.0","0.01","32.94","1.15","0.56","0.56","59.54","40.46","0.0","0.38","6.87","29.01","63.74","15.65","84.35","0.0","6.0","2.27"
"2019","Kharif","PMFBY","Madhya Pradesh","23","Agar Malwa","667.0","49490.0","64926.0","14.0","140.28","50493.3","1009.87","2524.42","2524.42","88.29","11.6","0.11","6.78","1.31","67.11","24.8","15.05","50.27","34.68","240.0","6058.71"
"2020","Kharif","PMFBY","Uttar Pradesh","9","Gautam Buddha Nagar","144.0","4776.0","5872.0","69.0","3.55","2582.15","51.64","69.72","69.72","91.85","8.11","0.04","1.04","0.08","43.8","55.08","59.65","32.57","7.78","126.0","191.08"
"2020","Kharif","PMFBY","Meghalaya","17","Ribhoi","276.0","121.0","121.0","0.0","0.09","73.66","3.61","0.01","0.0","54.55","45.45","0.0","0.0","97.52","2.48","0.0","100.0","0.0","0.0","2.0","3.63"
"2022","Rabi","WBCIS","Maharashtra","27","Nanded","485.0","1053.0","88.0","1095.0","0.81","1114.41","66.92","139.3","206.23","83.01","16.99","0.0","3.21","0.76","26.37","69.66","8.79","82.08","9.13","21.0","412.45"
"2020","Rabi","PMFBY","Tripura","16","Sepahijala","653.0","9224.0","158.0","10524.0","1.33","920.84","1.07","16.5","14.73","88.55","11.42","0.03","3.38","3.63","6.83","86.16","6.19","93.3","0.51","10.0","32.3"
"2020","Rabi","PMFBY","Odisha","21","Kendujhar","361.0","494.0","36.0","3347.0","0.33","184.12","1.84","0.0","0.0","80.25","19.75","0.0","7.09","33.99","33.02","25.9","26.01","71.56","2.43","22.0","1.84"
"2018","Rabi","PMFBY","Uttarakhand","5","Chamoli","47.0","431.0","387.0","50.0","0.35","147.82","2.22","1.85","1.85","97.94","2.06","0.0","10.53","1.83","2.97","84.67","12.13","86.27","1.6","11.0","5.92"
