Year (year),Season (season),Scheme name (scheme),State (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Percentage of the number of farmers (farmer_count),Number of applications by lonees (loanee),Number of applications by non-lonees (non_loanee),Area covered by them (area_insured),Sum insured by them (sum_insured),Number of shares hold by farmer (farmer_share),Number of goi shares (goi_share),Number of state shares (state_share),Percentage of males (male),Percentage of females (female),Percentage of transgender (transgender),Percentage of SC farmers (sc),Percentage of ST farmers (st),Percentage of OBC farmers (obc),Percentage of farmers that belong to general caste (gen),Percentage of marginal farmers (marginal),Percentage of small farmers (small),Percentage of farmers that are neither small nor marginal (other),Number of Insurance Units (iu_count),Gross Premium (gross_premium)
"2019","Rabi","PMFBY","Assam","18","Bongaigaon","281.0","22029.0","101.0","51764.0","43.22","38306.87","31.28","145.47","924.75","60.83","39.14","0.03","18.31","0.88","11.16","69.65","76.05","22.52","1.43","3.0","1101.5"
"2020","Kharif","WBCIS","Uttar Pradesh","9","Kushinagar","160.0","3564.0","3645.0","0.0","1.6","2182.51","109.13","76.39","76.39","92.92","7.08","0.0","0.0","0.05","2.36","97.59","2.22","92.51","5.27","10.0","261.91"
"2018","Rabi","WBCIS","West Bengal","19","North Twenty Four Parganas","nan","75.0","30.0","45.0","0.01","10.58","0.53","1.06","1.06","96.0","4.0","0.0","1.33","0.0","2.67","96.0","2.67","82.67","14.66","7.0","2.65"
"2018","Kharif","PMFBY","Maharashtra","27","Aurangabad","469.0","253872.0","80263.0","596016.0","317.29","108968.63","3974.37","6438.31","6438.31","78.5","21.47","0.03","2.19","0.92","15.54","81.35","6.0","89.19","4.81","71.0","16850.99"
"2021","Rabi","WBCIS","Himachal Pradesh","2","Mandi","22.0","15024.0","15443.0","4.0","1103.12","8921.21","446.06","1115.0","1732.47","93.34","6.62","0.04","15.72","0.33","2.52","81.43","31.14","66.1","2.76","238.0","3293.53"
"2019","Rabi","PMFBY","Madhya Pradesh","23","Rajgarh","422.0","128587.0","371074.0","106.0","393.42","113663.44","1704.95","2886.43","2886.43","92.72","7.13","0.15","4.28","1.65","71.71","22.36","11.14","50.9","37.96","640.0","7477.81"
"2021","Rabi","PMFBY","Tamil Nadu","33","Thiruvallur","589.0","36083.0","40845.0","206017.0","47.7","37033.67","557.03","2483.08","2483.22","77.59","22.39","0.02","5.28","0.07","39.95","54.7","7.03","89.43","3.54","722.0","5523.33"
"2019","Rabi","PMFBY","Haryana","6","Jind","65.0","49061.0","60884.0","88.0","93.28","58583.84","878.76","1186.33","1186.33","94.55","5.41","0.04","0.25","0.02","4.35","95.38","12.42","57.64","29.94","311.0","3251.42"
"2022","Rabi","PMFBY","Madhya Pradesh","23","Damoh","400.0","39103.0","158822.0","670.0","82.65","26637.91","399.57","786.02","786.02","88.67","11.22","0.11","4.19","3.42","72.71","19.68","19.94","45.16","34.9","472.0","1971.61"
"2020","Rabi","PMFBY","Madhya Pradesh","23","Sehore","427.0","125300.0","245300.0","317.0","393.52","154592.69","2318.89","6506.04","6506.04","89.1","10.77","0.13","5.58","3.36","61.38","29.68","14.71","53.19","32.1","508.0","15330.97"
"2019","Rabi","WBCIS","Chhattisgarh","22","Surguja","389.0","795.0","160.0","695.0","0.11","90.45","4.52","10.03","10.03","90.64","9.36","0.0","1.17","67.49","23.04","8.3","8.42","82.34","9.24","22.0","24.58"
"2018","Kharif","PMFBY","Telangana","36","Yadadri","nan","13782.0","13077.0","1416.0","15.06","12326.58","246.53","139.5","139.5","73.32","26.63","0.05","8.09","5.35","49.89","36.67","14.61","77.45","7.94","303.0","525.53"
"2019","Kharif","PMFBY","Karnataka","29","Belagavi","527.0","33339.0","4065.0","29274.0","0.03","0.13","0.0","0.01","0.01","90.91","9.09","0.0","0.0","0.0","29.9","70.1","10.1","42.42","47.48","999.0","0.03"
"2020","Kharif","PMFBY","Maharashtra","27","Osmanabad","488.0","327155.0","24719.0","936546.0","527.72","209339.58","4265.77","27948.86","32918.62","81.97","18.0","0.03","2.87","0.65","13.62","82.86","10.66","82.95","6.39","50.0","65133.25"
"2022","Kharif","WBCIS","Chhattisgarh","22","Surajpur","648.0","324.0","0.0","803.0","0.33","395.61","19.78","49.27","61.04","82.32","17.56","0.12","0.37","30.76","56.41","12.46","10.83","73.72","15.45","23.0","130.09"
"2022","Kharif","WBCIS","Maharashtra","27","Washim","499.0","58.0","73.0","17.0","0.07","55.89","2.79","1.67","1.67","96.67","3.33","0.0","0.0","0.0","44.44","55.56","5.56","26.67","67.77","20.0","6.13"
"2022","Rabi","WBCIS","Uttar Pradesh","9","Sitapur","183.0","3.0","3.0","0.0","0.0","1.54","0.08","0.07","0.07","100.0","0.0","0.0","0.0","0.0","66.67","33.33","33.33","66.67","0.0","1.0","0.22"
"2019","Rabi","WBCIS","Rajasthan","8","Dhaulpur","nan","1711.0","1727.0","0.0","0.92","1438.31","71.92","165.41","165.41","91.95","7.93","0.12","11.06","0.46","36.94","51.54","41.81","38.91","19.28","35.0","402.74"
"2019","Kharif","PMFBY","Andhra Pradesh","28","Prakasam","517.0","146352.0","12192.0","264555.0","213.05","115234.93","1.68","6721.38","9879.98","70.03","29.94","0.03","7.92","1.31","25.59","65.18","8.78","87.42","3.8","853.0","16603.04"
"2021","Rabi","PMFBY","Kerala","32","Kollam","559.0","9.0","4.0","12.0","0.0","2.48","0.08","0.0","0.0","75.0","25.0","0.0","0.0","0.0","43.75","56.25","12.5","68.75","18.75","10.0","0.08"
"2020","Kharif","PMFBY","Chhattisgarh","22","Dhamtari","377.0","65390.0","249256.0","11753.0","79.32","36812.46","736.25","2132.0","2132.0","89.17","10.76","0.07","4.11","27.42","66.45","2.02","24.03","56.63","19.34","623.0","5000.25"
"2022","Rabi","WBCIS","Uttar Pradesh","9","Balrampur","127.0","40.0","21.0","34.0","0.02","16.18","0.81","0.0","0.0","83.64","16.36","0.0","0.0","3.64","47.27","49.09","43.64","50.91","5.45","6.0","0.81"
"2018","Rabi","PMFBY","Uttarakhand","5","Pithoragarh","53.0","2031.0","976.0","1387.0","0.55","224.08","3.36","1.12","1.12","89.76","10.24","0.0","24.33","2.24","1.57","71.86","28.35","69.19","2.46","14.0","5.6"
"2018","Kharif","WBCIS","Telangana","36","Jogulamba","nan","4880.0","5054.0","111.0","4.33","4199.61","209.98","419.96","419.96","75.62","24.32","0.06","6.89","0.46","69.51","23.14","25.73","48.62","25.65","12.0","1049.9"
"2018","Kharif","PMFBY","Telangana","36","Nizamabad","516.0","33811.0","35703.0","36.0","33.25","31381.68","858.14","432.77","432.77","61.75","38.16","0.09","9.38","8.11","52.75","29.76","20.0","69.33","10.67","432.0","1723.68"
"2021","Kharif","PMFBY","Rajasthan","8","Karauli","108.0","32044.0","115137.0","71.0","18.22","7352.34","147.04","281.54","281.54","91.8","8.16","0.04","8.14","41.82","35.77","14.27","28.64","59.05","12.31","261.0","710.12"
"2018","Rabi","PMFBY","West Bengal","19","Haora","nan","43797.0","13247.0","37033.0","10.26","9337.96","61.19","230.59","353.63","83.75","16.22","0.03","12.69","1.57","6.0","79.74","42.08","50.98","6.94","145.0","645.41"
"2021","Kharif","PMFBY","Uttar Pradesh","9","Sitapur","183.0","23577.0","25274.0","436.0","13.67","8898.09","177.96","155.88","155.88","89.87","10.07","0.06","12.71","1.12","49.62","36.55","50.81","42.89","6.3","1259.0","489.72"
"2019","Kharif","PMFBY","Telangana","36","Jangaon","nan","6198.0","6454.0","31.0","6.83","5741.56","114.83","99.04","99.04","80.34","19.61","0.05","11.04","10.81","53.25","24.9","11.94","66.43","21.63","175.0","312.91"
"2022","Kharif","PMFBY","Uttar Pradesh","9","Varanasi","187.0","8715.0","8657.0","1297.0","4.77","3226.63","64.53","64.5","64.5","90.05","9.93","0.02","4.53","0.58","49.45","45.44","54.43","41.51","4.06","542.0","193.53"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Allahabad","nan","39471.0","40080.0","6919.0","30.01","17455.12","263.6","932.05","932.05","88.81","11.13","0.06","6.82","0.72","52.94","39.52","42.86","49.71","7.43","1524.0","2127.7"
"2021","Rabi","WBCIS","Rajasthan","8","Pali","111.0","16.0","34.0","0.0","0.0","4.28","0.21","0.43","0.43","73.53","26.47","0.0","2.94","11.76","70.59","14.71","32.35","55.88","11.77","6.0","1.07"
"2019","Kharif","PMFBY","Tripura","16","Gomati","654.0","8106.0","150.0","8851.0","1.86","1125.77","22.51","7.49","7.49","79.39","20.6","0.01","8.2","32.34","4.96","54.5","2.02","97.81","0.17","173.0","37.49"
"2021","Rabi","PMFBY","Odisha","21","Khordha","362.0","19.0","25.0","1.0","0.03","17.15","0.17","0.0","0.0","92.31","7.69","0.0","3.85","0.0","11.54","84.61","42.31","11.54","46.15","16.0","0.17"
"2021","Kharif","PMFBY","Chhattisgarh","22","Koriya","nan","17581.0","24992.0","1350.0","33.2","10084.26","201.69","943.27","943.27","88.16","11.75","0.09","4.27","53.6","34.93","7.2","16.6","54.15","29.25","565.0","2088.23"
"2022","Kharif","WBCIS","Maharashtra","27","Jalgaon","478.0","743.0","496.0","461.0","0.78","555.52","27.78","64.95","68.93","76.38","23.51","0.11","0.52","0.21","59.67","39.6","18.6","72.94","8.46","41.0","161.66"
"2022","Kharif","PMFBY","Maharashtra","27","Parbhani","489.0","319098.0","6892.0","665011.0","424.82","217353.85","4827.96","11941.02","11941.02","78.28","21.7","0.02","2.87","1.05","32.69","63.39","7.67","88.58","3.75","52.0","28710.0"
"2020","Kharif","WBCIS","Chhattisgarh","22","Kabeerdham","nan","1114.0","783.0","1130.0","1.99","2354.96","117.75","291.03","829.6","93.99","6.01","0.0","3.71","4.23","67.07","24.99","14.85","56.46","28.69","24.0","1238.38"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Bulandshahr","134.0","61524.0","64458.0","5.0","41.49","22510.99","338.18","224.07","224.07","96.68","3.31","0.01","0.39","0.02","4.86","94.73","46.03","51.51","2.46","934.0","786.32"
"2021","Kharif","WBCIS","Chhattisgarh","22","Balod","646.0","330.0","112.0","445.0","0.22","219.03","10.95","23.38","26.2","85.64","14.36","0.0","6.28","21.9","59.78","12.04","12.03","67.5","20.47","28.0","60.53"
"2020","Rabi","WBCIS","Maharashtra","27","Sindhudurg","495.0","11587.0","19742.0","3189.0","10.56","13991.2","699.56","1649.2","2249.05","91.01","8.87","0.12","0.85","0.14","16.74","82.27","27.2","66.87","5.93","39.0","4597.81"
"2018","Rabi","WBCIS","Madhya Pradesh","23","Khandwa (East Nimar)","nan","3409.0","3603.0","3.0","2.11","1344.09","67.2","31.08","31.08","85.97","14.0","0.03","3.13","7.35","50.25","39.27","21.44","38.77","39.79","18.0","129.36"
"2021","Kharif","PMFBY","Madhya Pradesh","23","Khargone (West Nimar)","nan","38719.0","51128.0","3.0","43.6","24111.98","1120.65","1210.74","1210.74","86.17","13.79","0.04","3.26","23.71","57.07","15.96","22.19","57.72","20.09","311.0","3542.13"
"2019","Kharif","PMFBY","Rajasthan","8","Jaisalmer","103.0","51547.0","97898.0","686.0","288.49","72602.5","1452.05","13291.32","13291.32","83.04","16.58","0.38","8.51","2.57","39.63","49.29","3.86","20.96","75.18","265.0","28034.69"
"2022","Rabi","PMFBY","Uttarakhand","5","Bageshwar","46.0","3375.0","3326.0","1034.0","0.4","158.46","2.38","7.98","7.98","97.27","2.73","0.0","28.46","3.14","4.15","64.25","6.61","93.28","0.11","290.0","18.34"
"2018","Kharif","PMFBY","Uttar Pradesh","9","Shrawasti","nan","25764.0","27017.0","8.0","19.86","9265.83","185.32","173.74","173.74","95.7","4.26","0.04","6.63","0.16","27.77","65.44","48.04","42.65","9.31","393.0","532.8"
"2019","Rabi","WBCIS","Chhattisgarh","22","Balrampur","649.0","271.0","19.0","269.0","0.02","15.83","0.79","0.97","0.97","94.79","4.86","0.35","1.74","66.32","13.19","18.75","6.25","88.19","5.56","18.0","2.72"
"2019","Rabi","WBCIS","Rajasthan","8","Jhunjhunu","106.0","11664.0","11777.0","0.0","3.02","5288.42","264.42","647.83","647.83","90.98","8.98","0.04","4.08","0.91","82.86","12.15","31.47","46.1","22.43","59.0","1560.08"
"2020","Kharif","WBCIS","Chhattisgarh","22","Balrampur","649.0","252.0","82.0","208.0","0.02","20.53","1.03","0.88","0.88","84.83","15.17","0.0","3.1","64.83","23.45","8.62","11.72","77.93","10.35","21.0","2.78"
"2019","Kharif","WBCIS","Madhya Pradesh","23","Satna","426.0","75.0","75.0","0.0","0.04","20.96","1.05","0.66","0.66","94.67","5.33","0.0","5.33","0.0","49.33","45.34","0.0","4.0","96.0","19.0","2.36"
"2018","Kharif","PMFBY","Madhya Pradesh","23","Chhatarpur","398.0","34696.0","38946.0","332.0","69.56","18085.39","361.71","471.46","471.46","88.52","11.36","0.12","12.09","1.74","52.18","33.99","23.25","54.77","21.98","139.0","1304.63"
"2022","Rabi","PMFBY","Uttar Pradesh","9","Budaun","133.0","16801.0","18059.0","524.0","11.38","7908.51","123.35","185.63","185.63","91.26","8.64","0.1","2.53","0.2","62.79","34.48","28.82","62.13","9.05","832.0","494.61"
"2018","Rabi","PMFBY","Haryana","6","Kurukshetra","68.0","29566.0","31654.0","37.0","47.61","31627.61","428.68","2.24","2.24","90.59","9.36","0.05","0.92","0.15","27.01","71.92","16.33","61.15","22.52","418.0","433.16"
"2018","Rabi","PMFBY","Himachal Pradesh","2","Shimla","23.0","141.0","145.0","0.0","0.1","29.16","0.44","0.66","0.66","90.34","9.66","0.0","1.38","0.0","0.69","97.93","88.97","10.34","0.69","8.0","1.75"
"2018","Rabi","PMFBY","Uttar Pradesh","9","Sultanpur","185.0","67124.0","66083.0","1677.0","56.04","26247.4","393.73","154.85","154.85","92.31","7.65","0.04","2.65","0.14","12.99","84.22","5.09","89.16","5.75","934.0","703.43"
"2020","Rabi","WBCIS","Maharashtra","27","Latur","481.0","644.0","42.0","652.0","0.46","657.6","32.88","62.56","62.56","81.84","18.16","0.0","1.3","0.0","29.25","69.45","16.86","60.23","22.91","51.0","158.0"
"2020","Rabi","WBCIS","Karnataka","29","Koppal","543.0","462.0","284.0","178.0","0.0","0.0","0.0","0.0","0.0","85.86","14.14","0.0","1.01","1.01","71.72","26.26","9.18","25.51","65.31","498.0","0.0"
"2021","Kharif","PMFBY","Rajasthan","8","Bharatpur","91.0","50625.0","932658.0","450.0","61.19","21043.6","424.22","810.62","810.62","93.72","6.26","0.02","3.73","1.75","42.12","52.4","28.12","46.01","25.87","511.0","2045.46"
"2018","Kharif","PMFBY","Maharashtra","27","Nandurbar","486.0","8519.0","9470.0","914.0","13.35","4546.34","206.56","182.94","182.94","81.19","18.71","0.1","1.63","23.18","36.66","38.53","10.84","73.5","15.66","42.0","572.44"
"2022","Rabi","PMFBY","Tripura","16","Sepahijala","653.0","17832.0","507.0","22146.0","4.03","2784.85","2.59","37.56","43.37","88.57","11.42","0.01","11.76","12.63","14.32","61.29","7.24","91.78","0.98","10.0","83.52"
"2020","Rabi","PMFBY","Haryana","6","Rohtak","73.0","12801.0","14135.0","744.0","16.75","10498.15","157.47","301.11","301.11","92.17","7.78","0.05","0.04","0.01","3.69","96.26","28.15","56.22","15.63","147.0","759.69"
"2020","Rabi","PMFBY","Karnataka","29","Hasan","nan","91.0","44.0","47.0","0.0","0.0","0.0","0.0","0.0","86.87","13.13","0.0","2.02","0.0","74.75","23.23","31.63","30.61","37.76","170.0","0.0"
"2020","Kharif","PMFBY","Maharashtra","27","Chandrapur","473.0","58233.0","77006.0","20754.0","69.26","29784.14","739.24","1419.1","1419.1","85.59","14.38","0.03","9.65","10.06","71.5","8.79","9.29","83.32","7.39","50.0","3577.44"
"2021","Rabi","PMFBY","Tamil Nadu","33","Tirupathur","732.0","2797.0","109.0","5869.0","1.57","1215.26","19.09","67.71","70.15","86.43","13.57","0.0","2.12","2.11","43.09","52.68","1.57","96.25","2.18","123.0","156.95"
"2022","Kharif","PMFBY","Chhattisgarh","22","Gariyaband","645.0","30587.0","113420.0","1410.0","46.73","21115.98","422.32","1682.72","1682.72","89.43","10.43","0.14","5.03","42.87","48.0","4.1","17.34","60.31","22.35","661.0","3787.76"
"2022","Rabi","PMFBY","Madhya Pradesh","23","Indore","410.0","53419.0","180192.0","736.0","121.44","54639.46","819.59","1502.17","1502.17","84.54","15.14","0.32","2.79","1.61","69.44","26.16","18.84","43.76","37.4","337.0","3823.93"
"2019","Rabi","PMFBY","Rajasthan","8","Jaisalmer","103.0","36821.0","66977.0","301.0","174.62","56391.26","1324.35","2261.04","2261.04","79.84","19.58","0.58","8.18","2.29","38.9","50.63","3.48","21.1","75.42","263.0","5846.43"
"2021","Kharif","PMFBY","Tamil Nadu","33","Tiruppur","634.0","299.0","68.0","418.0","0.38","278.03","6.97","18.07","18.87","82.72","17.28","0.0","1.03","0.0","43.21","55.76","11.73","55.14","33.13","23.0","43.91"
"2019","Rabi","WBCIS","Chhattisgarh","22","Surajpur","648.0","261.0","71.0","295.0","0.1","94.1","4.71","7.6","7.6","91.53","8.2","0.27","4.64","45.08","35.79","14.49","1.37","87.16","11.47","23.0","19.91"
"2020","Rabi","PMFBY","Himachal Pradesh","2","Solan","25.0","791.0","801.0","8.0","0.48","142.35","2.14","8.21","8.21","95.06","4.94","0.0","9.39","8.03","5.56","77.02","57.6","41.16","1.24","12.0","18.56"
"2019","Kharif","WBCIS","Madhya Pradesh","23","Raisen","421.0","26.0","69.0","0.0","0.05","22.9","1.15","1.28","1.28","100.0","0.0","0.0","0.0","1.45","56.52","42.03","0.0","8.7","91.3","11.0","3.71"
"2022","Rabi","PMFBY","Rajasthan","8","Sawai Madhopur","113.0","47606.0","338942.0","979.0","48.83","34641.46","519.61","1085.34","1085.34","91.21","8.77","0.02","11.65","38.56","40.38","9.41","18.55","65.5","15.95","272.0","2690.29"
"2020","Rabi","PMFBY","Tamil Nadu","33","Kallakurichi","729.0","58291.0","3045.0","251457.0","50.56","24938.71","486.86","2599.93","2599.93","83.2","16.77","0.03","11.79","0.09","41.96","46.16","2.58","95.9","1.52","483.0","5686.72"
"2021","Kharif","PMFBY","Jammu And Kashmir","1","Udhampur","14.0","13551.0","14282.0","26.0","6.1","4955.81","99.12","322.52","322.52","96.42","3.52","0.06","8.97","2.38","2.97","85.68","26.36","68.48","5.16","17.0","744.16"
"2021","Kharif","PMFBY","Maharashtra","27","Ahmadnagar","nan","146318.0","86722.0","200504.0","158.86","47629.1","1178.91","4207.17","4207.17","81.42","18.56","0.02","1.58","1.79","14.7","81.93","6.98","83.51","9.51","108.0","9593.25"
"2019","Kharif","PMFBY","Jharkhand","20","Saraikela-Kharsawan","nan","37704.0","5455.0","35432.0","25.31","16958.91","950.45","611.68","899.24","80.5","19.42","0.08","3.75","28.71","47.05","20.49","4.19","95.72","0.09","141.0","2461.37"
"2019","Rabi","WBCIS","Chhattisgarh","22","Mahasamund","385.0","45.0","135.0","33.0","0.07","58.29","2.91","4.37","4.37","97.62","2.38","0.0","0.6","2.98","67.26","29.16","7.74","50.0","42.26","17.0","11.65"
"2022","Kharif","WBCIS","Himachal Pradesh","2","Mandi","22.0","1255.0","1277.0","2.0","0.18","178.06","8.9","22.26","22.26","92.65","7.35","0.0","22.99","22.36","5.63","49.02","1.56","98.36","0.08","55.0","53.42"
"2022","Kharif","WBCIS","Rajasthan","8","Bundi","94.0","2.0","0.0","2.0","0.0","0.05","0.0","0.01","0.01","50.0","50.0","0.0","50.0","50.0","0.0","0.0","0.0","100.0","0.0","2.0","0.01"
"2020","Kharif","WBCIS","Kerala","32","Wayanad","567.0","253.0","449.0","7.0","0.09","74.83","3.74","9.31","9.31","80.48","19.52","0.0","0.88","0.0","18.2","80.92","69.3","22.59","8.11","20.0","22.36"
"2019","Kharif","PMFBY","Rajasthan","8","Churu","96.0","100894.0","364218.0","67.0","463.04","105842.03","2118.65","12447.07","12447.07","88.24","11.58","0.18","8.36","0.65","57.6","33.39","11.77","41.67","46.56","271.0","27012.79"
"2019","Kharif","PMFBY","Haryana","6","Hisar","63.0","86023.0","100071.0","342.0","144.27","109882.85","2198.54","6777.11","9341.94","91.8","8.18","0.02","0.39","0.04","5.05","94.52","16.55","60.39","23.06","280.0","18317.59"
"2020","Rabi","WBCIS","Maharashtra","27","Kolhapur","480.0","80.0","177.0","1.0","0.12","130.24","6.51","15.4","29.64","88.76","11.24","0.0","2.25","0.0","6.18","91.57","10.11","30.34","59.55","20.0","51.55"
"2021","Rabi","PMFBY","Madhya Pradesh","23","Panna","420.0","10507.0","14385.0","515.0","19.48","7073.33","106.1","269.62","269.62","91.89","8.04","0.07","7.77","2.29","45.72","44.22","18.01","54.66","27.33","373.0","645.34"
"2020","Rabi","WBCIS","Maharashtra","27","Raigarh","nan","5908.0","1119.0","7854.0","4.63","6449.8","322.49","806.23","1765.22","87.32","12.65","0.03","1.07","1.86","18.02","79.05","34.16","56.57","9.27","56.0","2893.94"
"2022","Rabi","PMFBY","Uttar Pradesh","9","Barabanki","129.0","79434.0","81704.0","297.0","40.27","29798.17","480.81","719.6","719.6","91.64","8.29","0.07","10.59","0.61","47.38","41.42","61.02","37.5","1.48","1158.0","1920.01"
"2019","Rabi","PMFBY","Telangana","36","Khammam","509.0","4678.0","4977.0","28.0","5.08","4269.24","64.04","11.08","11.08","69.51","30.41","0.08","8.15","6.57","38.36","46.92","38.34","50.21","11.45","243.0","86.2"
"2020","Rabi","WBCIS","Kerala","32","Kasaragod","558.0","24.0","23.0","12.0","0.01","4.61","0.21","0.58","0.58","85.71","14.29","0.0","0.0","0.0","37.14","62.86","34.29","62.86","2.85","6.0","1.38"
"2019","Kharif","PMFBY","Karnataka","29","Kolar","542.0","23879.0","1304.0","22575.0","0.01","0.04","0.0","0.0","0.0","84.85","15.15","0.0","8.25","2.06","17.53","72.16","37.76","37.76","24.48","300.0","0.01"
"2020","Rabi","PMFBY","Haryana","6","Jind","65.0","36840.0","43656.0","1006.0","61.47","39199.26","587.99","901.28","901.3","94.1","5.89","0.01","0.27","0.08","7.4","92.25","15.39","57.8","26.81","309.0","2390.57"
"2020","Rabi","PMFBY","Himachal Pradesh","2","Chamba","16.0","4350.0","4406.0","11.0","0.99","296.55","4.45","19.87","19.87","94.05","5.93","0.02","10.14","28.55","2.04","59.27","28.48","65.61","5.91","12.0","44.19"
"2022","Kharif","WBCIS","Himachal Pradesh","2","Solan","25.0","2255.0","2302.0","1.0","0.41","407.17","20.36","24.02","24.02","93.75","6.25","0.0","9.77","0.22","1.56","88.45","65.74","33.0","1.26","213.0","68.4"
"2020","Rabi","WBCIS","Maharashtra","27","Osmanabad","488.0","702.0","411.0","420.0","0.66","1512.21","75.61","172.2","212.81","69.68","30.32","0.0","1.44","0.48","7.22","90.86","9.99","48.01","42.0","41.0","460.62"
"2019","Rabi","WBCIS","Madhya Pradesh","23","Panna","420.0","9.0","26.0","3.0","0.01","4.09","0.2","0.08","0.08","100.0","0.0","0.0","0.0","0.0","89.66","10.34","0.0","17.24","82.76","3.0","0.36"
"2018","Rabi","WBCIS","Madhya Pradesh","23","Datia","401.0","4.0","6.0","0.0","0.0","1.52","0.08","0.05","0.05","100.0","0.0","0.0","0.0","0.0","66.67","33.33","0.0","16.67","83.33","4.0","0.17"
"2022","Rabi","PMFBY","Uttar Pradesh","9","Bahraich","125.0","71337.0","59230.0","44629.0","39.38","25226.82","378.4","689.8","689.8","85.15","14.79","0.06","6.36","0.85","50.2","42.59","32.04","62.49","5.47","1031.0","1758.0"
"2020","Rabi","WBCIS","Himachal Pradesh","2","Lahul Spiti","nan","703.0","749.0","0.0","38.13","305.03","15.25","38.13","89.98","96.53","3.34","0.13","0.8","97.86","0.13","1.21","20.83","37.25","41.92","32.0","143.36"
"2019","Kharif","PMFBY","Jharkhand","20","Dhanbad","325.0","28617.0","3429.0","27549.0","12.43","7244.89","485.87","341.28","468.31","78.18","21.64","0.18","2.45","5.26","85.1","7.19","8.49","89.99","1.52","229.0","1295.46"
"2022","Rabi","WBCIS","Rajasthan","8","Jaipur","102.0","2966.0","10629.0","0.0","1.02","1080.07","54.0","71.02","71.02","88.53","11.47","0.0","1.83","3.68","73.62","20.87","34.8","55.27","9.93","98.0","196.04"
"2022","Rabi","WBCIS","Rajasthan","8","Sirohi","115.0","173.0","190.0","0.0","0.08","94.73","4.74","9.47","9.47","88.42","11.58","0.0","16.32","3.16","44.21","36.31","16.84","60.0","23.16","17.0","23.68"
"2021","Kharif","PMFBY","Rajasthan","8","Jhalawar","105.0","122406.0","736867.0","18013.0","166.89","64848.89","1296.94","6030.82","6030.82","86.39","13.52","0.09","6.01","8.27","72.38","13.34","26.33","53.96","19.71","340.0","13358.58"
"2018","Kharif","WBCIS","Uttar Pradesh","9","Gorakhpur","148.0","2.0","3.0","0.0","0.01","11.09","0.55","0.83","0.83","100.0","0.0","0.0","0.0","0.0","0.0","100.0","66.67","0.0","33.33","1.0","2.22"
"2021","Rabi","PMFBY","Haryana","6","Charkhi Dadri","nan","20909.0","29587.0","3713.0","31.44","18319.35","274.79","533.72","533.72","92.85","7.08","0.07","0.38","0.01","4.74","94.87","20.89","61.32","17.79","173.0","1342.23"
"2020","Rabi","PMFBY","Maharashtra","27","Dhule","474.0","2747.0","1382.0","2865.0","3.76","1549.99","34.8","24.84","24.84","80.65","19.35","0.0","0.64","1.84","63.43","34.09","8.83","74.45","16.72","42.0","84.48"
"2018","Kharif","PMFBY","Uttarakhand","5","Almora","45.0","13392.0","6352.0","8521.0","1.69","617.71","6.41","0.0","0.0","87.61","12.38","0.01","14.07","0.75","0.97","84.21","25.62","71.73","2.65","16.0","6.41"
"2021","Kharif","PMFBY","Haryana","6","Mahendragarh","69.0","32767.0","48220.0","1097.0","36.22","21220.89","784.1","926.79","926.79","92.4","7.56","0.04","0.26","0.02","50.25","49.47","26.86","66.68","6.46","375.0","2637.68"
"2019","Rabi","PMFBY","Uttar Pradesh","9","Kushinagar","160.0","32361.0","35334.0","7295.0","27.2","12104.67","181.57","224.54","224.54","91.95","8.04","0.01","0.63","0.24","20.65","78.48","9.9","85.91","4.19","928.0","630.65"
"2021","Kharif","PMFBY","Tamil Nadu","33","Kanniyakumari","575.0","42.0","13.0","64.0","0.01","20.33","1.02","2.03","2.39","80.52","19.48","0.0","0.0","0.0","67.53","32.47","1.3","97.4","1.3","13.0","5.44"
"2018","Rabi","PMFBY","Tamil Nadu","33","Theni","588.0","1990.0","1431.0","832.0","1.68","1682.9","38.86","42.8","42.8","82.81","17.19","0.0","7.07","0.04","47.11","45.78","9.24","82.68","8.08","96.0","124.46"
"2021","Rabi","PMFBY","Uttar Pradesh","9","Kheri","159.0","1945.0","2269.0","2483.0","1.14","842.82","12.64","14.76","14.76","85.96","14.04","0.0","4.57","9.91","46.19","39.33","19.53","65.11","15.36","807.0","42.16"
"2022","Rabi","WBCIS","Kerala","32","Wayanad","567.0","371.0","1.0","423.0","0.05","45.8","1.57","6.04","6.04","71.93","28.07","0.0","0.71","1.89","10.85","86.55","1.18","97.88","0.94","13.0","13.65"
"2018","Rabi","PMFBY","Assam","18","Dhubri","285.0","14728.0","0.0","15646.0","7.29","4592.04","74.74","31.51","31.51","79.84","20.12","0.04","0.32","0.21","1.06","98.41","17.61","53.88","28.51","6.0","137.76"
"2021","Rabi","PMFBY","Kerala","32","Idukki","556.0","4.0","6.0","2.0","0.0","3.57","0.11","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","100.0","50.0","25.0","25.0","5.0","0.11"
"2021","Rabi","PMFBY","Assam","18","Chirang","612.0","3249.0","27.0","3303.0","1.83","1270.64","0.14","11.44","20.19","85.5","14.44","0.06","1.29","8.71","2.73","87.27","71.68","27.66","0.66","2.0","31.77"
